p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
9.584091210448281e-9,0.3603032762502094,0.279,0.08,2.2370227294307333e-4,1,Wars1
9.89097585797499e-9,0.35692569387506,0.529,0.241,2.3086526750099422e-4,1,Ddx541
1.0257889846791848e-8,0.27113274939472465,0.729,0.401,2.3942940691396852e-4,1,Smg11
1.0738391877300274e-8,0.9297939246608635,0.357,0.134,2.506448048080657e-4,1,Ptpn221
1.0782167863457319e-8,0.28720248014747884,0.764,0.422,2.516665801009573e-4,1,Psme21
1.0829735111804723e-8,0.6280311985536158,0.286,0.086,2.52776847244634e-4,1,Epn11
1.1054746855919928e-8,0.6567170152425819,0.479,0.225,2.5802884636402703e-4,1,Mta21
1.132346719177868e-8,0.3826900875702952,0.479,0.209,2.6430104772330614e-4,1,Hif1a1
1.149497449530917e-8,0.27472661981613555,0.521,0.23,2.683041996950113e-4,1,Chd71
1.1538211047475002e-8,0.3750859549741472,0.6,0.318,2.69313384059114e-4,1,Ubap2l1
1.2507937000674184e-8,0.3471042720534441,0.414,0.163,2.919477575327361e-4,1,Dcun1d11
1.3020336027421709e-8,0.39855076394697697,0.379,0.142,3.0390766321605013e-4,1,Cept11
1.3925577881397646e-8,0.49222163515703965,0.271,0.078,3.2503691332970246e-4,1,Mzt11
1.3993232230383407e-8,0.7282527176457188,0.464,0.214,3.266160334893791e-4,1,Cse1l1
1.4005327299107403e-8,0.34534232295353595,0.514,0.235,3.268983444884659e-4,1,Stag21
1.4265644378237412e-8,0.26074936961168005,0.357,0.126,3.3297440543243945e-4,1,Suz121
1.4326385903371118e-8,0.5129310232121997,0.35,0.123,3.343921733705853e-4,1,Pgd1
1.4587969777072587e-8,0.2675301936991614,0.286,0.086,3.4049780256665126e-4,1,Slc25a461
1.4814733555596998e-8,0.5103389488751162,0.457,0.206,3.457906959211895e-4,1,Txndc161
1.4886591578677254e-8,0.4693730122003088,0.257,0.072,3.474679340379058e-4,1,Tmem170b1
1.499108729759176e-8,0.4463881892425512,0.657,0.35,3.499069686130893e-4,1,Nono1
1.5402437270384952e-8,0.9140093429926046,0.321,0.107,3.5950828832805514e-4,1,Slc25a121
1.5522491803675193e-8,0.35438456762501724,0.264,0.075,3.6231048118958266e-4,1,Nup2141
1.654544927942356e-8,0.9185678380504636,0.379,0.152,3.8618733163102534e-4,1,Zc3h7a1
1.6790769464815842e-8,0.8673810499129595,0.343,0.123,3.919133500782666e-4,1,Dctn11
1.7016903387092914e-8,0.4285753573910842,0.35,0.123,3.971915419581357e-4,1,Zc3h131
1.7414488210864077e-8,0.33947775470305874,0.693,0.422,4.064715693297784e-4,1,Lbh1
1.7469624009913174e-8,0.33569494003503975,0.35,0.126,4.077584940153834e-4,1,Nol91
1.8773354257257332e-8,0.47409118104617765,0.436,0.176,4.381888617186434e-4,1,Fbxo331
1.922549365530688e-8,0.32937572956476124,0.293,0.091,4.487422474085179e-4,1,Nbr11
1.9673836169712966e-8,0.7368814075032466,0.286,0.091,4.5920701003727033e-4,1,Bag61
2.105412697316884e-8,1.1316651048289113,0.321,0.112,4.914243776807339e-4,1,Rif11
2.1188523622134624e-8,0.3968377823035185,0.486,0.219,4.945613298642442e-4,1,Cmpk11
2.129268052284541e-8,0.35853741810220274,0.257,0.07,4.969924560837347e-4,1,Ell31
2.1442551477782756e-8,0.42816535484161733,0.621,0.332,5.004905940429273e-4,1,Fus1
2.162113029449909e-8,0.5549473281226347,0.314,0.104,5.046588022039032e-4,1,Klhdc31
2.1985173439565657e-8,0.48916335109255726,0.343,0.118,5.13155933252902e-4,1,Trappc2l1
2.2488411479355286e-8,0.3219778594054725,0.593,0.307,5.249020123396318e-4,1,Esyt11
2.3192253713621713e-08,0.32311896852189115,0.921,0.631,5.413303939296444e-4,1,Mcl11
2.4163956926628395e-8,0.3364079598470848,0.614,0.356,5.640109186244333e-4,1,Atp1b31
2.4492823898061454e-8,0.705395049284852,0.3,0.096,5.716870026046524e-4,1,1110014N23Rik1
2.452717693129358e-8,0.3883685503396448,0.321,0.107,5.724888367533234e-4,1,Hspbp11
2.4698528485521095e-8,0.6889611730602994,0.321,0.115,5.764883533805479e-4,1,Reep31
2.573246104463226e-8,0.6316128435263959,0.564,0.283,6.006213732427615e-4,1,Pde7a1
2.5873169776135724e-8,0.7785291661905345,0.357,0.136,6.03905655744784e-4,1,Efhd21
2.6070153752525432e-8,0.44294089329286823,0.379,0.142,6.085034587376961e-4,1,Xpo11
2.6074805804667973e-8,0.2771571845700995,0.429,0.176,6.086120422867552e-4,1,Bcar31
2.666127282358178e-8,0.3350162846400484,0.314,0.104,6.223007689752224e-4,1,Usp191
2.674761095095851e-8,0.30951514446911865,0.479,0.211,6.243159872063226e-4,1,Pik3cd1
2.7497513119084282e-8,0.8829972007828544,0.271,0.083,6.418194537125462e-4,1,Sept91
2.9517644102566458e-8,0.540215226692109,0.336,0.118,6.889713309980037e-4,1,Csnk1g11
2.9839352696953135e-8,0.4836932632861477,0.279,0.086,6.964803312995831e-4,1,Sfswap1
2.98637579188366e-8,0.47166966823378687,0.343,0.123,6.97049973583565e-4,1,Gpd21
3.045261841196868e-8,0.3878923944938446,0.6,0.299,7.107945663537609e-4,1,Nap1l41
3.102422331844832e-8,0.7281952896730606,0.314,0.107,7.241363964759022e-4,1,Scaf41
3.129301358308648e-8,0.36394913006509455,0.257,0.072,7.304102300428215e-4,1,Pphln11
3.1877397025780525e-8,0.3314388444377463,0.521,0.251,7.440503239787433e-4,1,Mll31
3.2147626766999316e-8,0.3487967403183827,0.486,0.23,7.503577563685311e-4,1,Aco21
3.3208430023549256e-8,0.5017191731226802,0.621,0.326,7.751179651796632e-4,1,Stat41
3.36222201190289e-8,0.35569927195447715,0.557,0.27,7.847762397982536e-4,1,Txn11
3.420261564497552e-8,0.3289681148075374,0.671,0.369,7.983232517693736e-4,1,Cct21
3.470578968396241e-8,0.32006786550904653,0.493,0.225,8.100678370133666e-4,1,Smek21
3.4901002503198924e-8,0.7023186691043715,0.471,0.222,8.146242994271661e-4,1,Vasp1
3.500583632392564e-8,0.3084648662005227,0.929,0.618,8.170712256367484e-4,1,Ucp21
3.5132628154724506e-8,0.39399046574222485,0.357,0.131,8.200306737594247e-4,1,Lsm121
3.5668864556712097e-8,0.3806089924356941,0.429,0.182,8.325469676182171e-4,1,Lax11
3.8297473731773505e-8,1.109977879545868,0.257,0.075,8.939013343733254e-4,1,D17Wsu92e1
4.194507961271794e-8,0.3415890997511237,0.721,0.43,9.790401032404494e-4,1,Dennd4a1
4.30770109097324e-8,0.46711312792116644,0.464,0.219,0.001005460511644064,1,Eprs1
4.30770109097324e-8,0.25711596976648465,0.471,0.217,0.001005460511644064,1,Bub31
4.3620441515089286e-8,0.31310327324223675,0.707,0.406,0.001018144725403699,1,Aldh21
4.4512335030482287e-8,0.3374412703656118,0.571,0.275,0.001038962411946487,1,Rap1a1
4.569405199748181e-8,0.3879743749837856,0.321,0.107,0.001066544867673223,1,Nab11
4.856672845389682e-8,0.324448660007862,0.621,0.334,0.0011335960088424057,1,Bcl11a1
4.858346622571351e-8,0.3676804046519413,0.529,0.257,0.001133986685174379,1,Nub11
4.960383504146336e-8,0.48121366406812127,0.6,0.305,0.0011578031137027963,1,Mob1a1
